,gameID,HomeAway,Outcome,goals,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,OPPgoals,OPPpim,OPPshots,OPPpowerPlayPercentage,OPPpowerPlayGoals,OPPpowerPlayOpportunities,OPPfaceOffWinPercentage,OPPblocked,OPPtakeaways,OPPgiveaways,OPPhits
253,2017020130,Away, loss,1,8,27,0,0,2,45.8,23,4,20,35,5,4,37,50,2,4,54.2,12,9,11,24
254,2017020145,Home,Win,8,11,22,33.3,1,3,37.7,11,9,20,12,3,11,34,0,0,3,62.3,3,4,14,21
255,2017020160,Home,,2,11,46,16.7,1,6,54.9,14,6,27,12,2,17,38,0,0,3,45.1,13,10,13,18
256,2017020174,Home, loss,5,15,23,0,0,3,50.7,12,16,14,14,8,11,38,40,2,5,49.3,15,12,17,8
257,2017020190,Home, loss,3,12,34,0,0,1,62.9,10,6,18,23,7,6,40,50,2,4,37.1,7,12,12,9
258,2017020203,Home,Overtime Loss,4,6,34,0,0,2,54.7,11,9,18,16,5,4,44,33.3,1,3,45.3,16,6,10,11
259,2017020227,Away, loss,1,12,31,50,1,2,53.1,25,5,11,31,3,6,48,0,0,5,46.9,13,14,12,13
260,2017020242,Away,Win,4,15,31,0,0,3,40.4,11,5,8,16,1,15,25,50,1,2,59.6,15,6,7,23
261,2017020254,Away, loss,1,8,33,0,0,4,67.3,9,11,8,17,2,10,21,50,1,2,32.7,12,13,10,20
262,2017020269,Home,,3,11,29,40,2,5,50,8,3,20,13,3,17,43,0,0,2,50,8,4,10,15
263,2017020289,Away,Win,2,4,28,0,0,1,48.5,18,20,14,22,0,2,35,0,0,2,51.5,12,23,20,19
264,2017020296,Away, loss,0,2,24,0,0,2,49.2,8,0,2,22,4,6,20,0,0,0,50.8,10,5,10,28
265,2017020309,Away, loss,2,15,52,16.7,1,6,49.2,12,11,14,20,3,19,28,50,2,4,50.8,18,10,15,28
266,2017020321,Home,,1,6,43,0,0,3,44.1,18,8,13,13,1,6,44,0,0,3,55.9,6,10,6,14
267,2017020352,Home, loss,1,2,38,0,0,2,46.2,17,8,19,20,4,4,39,0,0,1,53.8,11,3,12,8
268,2017020362,Away,Win,3,8,38,0,0,3,65.1,7,10,8,20,2,10,25,0,0,2,34.9,12,7,6,15
269,2017020369,Away,Win,5,8,27,50,1,2,52.5,15,9,10,22,4,6,37,0,0,3,47.5,12,10,11,13
270,2017020392,Home, loss,1,0,40,0,0,2,50.9,21,9,18,17,2,4,32,0,0,0,49.1,17,6,11,17
271,2017020403,Away,Overtime Loss,2,26,39,0,0,2,45.1,15,18,16,25,3,20,47,40,2,5,54.9,15,15,15,19
272,2017020413,Home,,4,4,43,50,2,4,55.1,9,8,10,21,4,18,32,0,0,2,44.9,8,7,13,20
273,2017020434,Home,Win,6,16,36,50,2,4,38.9,12,4,9,30,4,10,39,14.3,1,7,61.1,8,5,7,24
274,2017020448,Home, loss,3,6,42,0,0,5,54,13,12,13,26,7,10,30,0,0,3,46,17,6,9,16
275,2017020463,Away,Win,2,23,29,50,1,2,52.9,18,4,9,19,1,21,35,0,0,3,47.1,17,5,11,24
276,2017020473,Away,Overtime Loss,2,10,37,0,0,2,53.1,25,11,11,33,3,8,28,0,0,3,46.9,16,11,11,31
277,2017020486,Away, loss,1,6,33,0,0,1,50,18,5,7,12,2,2,30,0,0,3,50,14,9,4,9
278,2017020510,Away, loss,2,8,18,33.3,1,3,43.5,15,14,8,13,5,6,40,0,0,4,56.5,13,18,12,12
279,2017020523,Away,Win,3,10,26,0,0,0,50,16,5,7,30,2,4,41,0,0,4,50,12,5,7,32
280,2017020540,Home,Win,4,15,34,0,0,3,36.1,7,17,13,23,2,11,31,20,1,5,63.9,12,10,9,9
281,2017020546,Home,Win,1,6,38,0,0,3,61,12,12,20,14,0,10,38,0,0,2,39,14,10,15,13
282,2017020571,Home,Win,3,15,27,0,0,4,55.2,10,14,7,17,2,15,31,0,0,4,44.8,18,5,17,23
283,2017020588,Home,Win,2,0,33,0,0,3,50,17,15,20,33,0,6,38,0,0,0,50,15,11,6,17
284,2017020608,Away, loss,1,7,26,0,0,2,46.6,14,2,6,11,5,9,41,0,0,1,53.4,12,6,3,8
